date,product_id,product_name,brand_name,original_price,final_price,discount_rate,trending,sold_count,viewing,purchasing,review_count,review_score,product_url,image_url,rank
202411290554,4286631,NJ3NQ53A 남성 눕시 온볼 자켓_BLACK,노스페이스,249000,224100,10,0,5000.0,13000,94,327,98.0,https://www.musinsa.com/products/4286631,https://image.msscdn.net/images/goods_img/20240731/4286631/4286631_17224141698600_500.jpg,1
202411290554,4619625,PERTEX® T Down Jacket,디스이즈네버댓,239000,167300,30,0,5200.0,12000,93,659,98.0,https://www.musinsa.com/products/4619625,https://image.msscdn.net/images/goods_img/20241118/4619625/4619625_17325150727575_500.jpg,2
202411290554,4328804,에샤페 초코(1XM02361H200),휠라,109000,109000,0,0,3000.0,1000,130,299,98.0,https://www.musinsa.com/products/4328804,https://image.msscdn.net/images/goods_img/20240814/4328804/4328804_17235999287287_500.jpg,3
202411290554,4558266,[5PACK]립 릴리프 크림 립밤,블리스텍스,30000,10000,67,0,1800.0,11000,563,0,0.0,https://www.musinsa.com/products/4558266,https://image.msscdn.net/images/goods_img/20241025/4558266/4558266_17307804671297_500.jpg,4
202411290554,4270193,[무신사 단독패키지] 24년 8월 신상품 에어젯 울트라 프로 전문가용 1700W 터보 항공모터 헤어 드라이기,제이엠더블유,159000,78000,51,0,5900.0,905,80,917,98.0,https://www.musinsa.com/products/4270193,https://image.msscdn.net/images/goods_img/20240724/4270193/4270193_17267260352510_500.jpg,5
202411290554,4507921,NBNPE4W102 / WOMEN 액티브 숏 구스다운 (6컬러),뉴발란스,299000,299000,0,0,1300.0,756,57,75,98.0,https://www.musinsa.com/products/4507921,https://image.msscdn.net/images/goods_img/20241011/4507921/4507921_17309514460618_500.jpg,6
202411290554,4635627,NBRJEF040B / SD7988BK (BLACK),뉴발란스,109000,109000,0,0,,577,71,0,0.0,https://www.musinsa.com/products/4635627,https://image.msscdn.net/images/goods_img/20241126/4635627/4635627_17325840030163_500.jpg,7
202411290554,4509977,반폴라 세미 오버핏 모크넥 니트 [블랙],워크온바디오프,33000,14850,55,1,,12000,244,216,96.0,https://www.musinsa.com/products/4509977,https://image.msscdn.net/images/goods_img/20241011/4509977/4509977_17289702809308_500.jpg,8
202411290554,4541879,[WOMEN] 인/아웃 푸퍼 니트 커프 부츠 - 화이트윌로우 WFS2265RENWWG,헌터,199000,189050,5,0,,458,0,1,100.0,https://www.musinsa.com/products/4541879,https://image.msscdn.net/images/goods_img/20241022/4541879/4541879_17319086397110_500.jpg,9
202411290554,4435752,바이오제닉 에센스 블렌디드 포뮬러 50% 100ml,세포랩,46000,29900,35,1,,510,138,5,96.0,https://www.musinsa.com/products/4435752,https://image.msscdn.net/images/goods_img/20240912/4435752/4435752_17314854003466_500.jpg,10
202411290554,4349548,심볼 로고 풋볼 저지,제이엘브,98000,22000,78,0,12000.0,829,232,574,98.0,https://www.musinsa.com/products/4349548,https://image.msscdn.net/images/goods_img/20240820/4349548/4349548_17242015035083_500.jpg,11
202411290554,4605203,SKADI DUCK DOWN - GLOSSY BLACK,노매뉴얼,249000,159360,36,0,2000.0,524,40,105,98.0,https://www.musinsa.com/products/4605203,https://image.msscdn.net/images/goods_img/20241112/4605203/4605203_17313716773417_500.jpg,12
202411290554,4531994,베이직 패딩,스파오,69900,54522,22,1,,12000,106,52,96.0,https://www.musinsa.com/products/4531994,https://image.msscdn.net/images/goods_img/20241018/4531994/4531994_17326046794834_500.jpg,13
202411290554,4480309,울 자카드 후드 더플 니트_3COLOR,라퍼지스토어,99000,54000,45,0,5500.0,15000,97,168,92.0,https://www.musinsa.com/products/4480309,https://image.msscdn.net/images/goods_img/20241002/4480309/4480309_17322598287749_500.jpg,14
202411290554,4403731,코스에그 자수 투웨이 니트집업 가디건,프렌치시크,29800,17880,40,0,23000.0,15000,367,2332,96.0,https://www.musinsa.com/products/4403731,https://image.msscdn.net/images/goods_img/20240904/4403731/4403731_17256178800641_500.jpg,15
202411290554,4327173,NC1DQ50J 화이트라벨 액션 프리 RDS 다운 코트_BLACK,노스페이스,358000,358000,0,0,2000.0,345,0,121,98.0,https://www.musinsa.com/products/4327173,https://image.msscdn.net/images/goods_img/20240813/4327173/4327173_17235381048878_500.jpg,16
202411290554,4593750,TNT X TIMBERLAND 목토 GTX 미드,팀버랜드,268000,268000,0,1,,856,72,0,0.0,https://www.musinsa.com/products/4593750,https://image.msscdn.net/images/goods_img/20241106/4593750/4593750_17313061348352_500.jpg,17
202411290554,4187469,셀렉스 프로핏 밀크프로틴 드링크 모카초콜릿 250ml x 18개,셀렉스,52200,25800,51,0,13000.0,378,130,2990,98.0,https://www.musinsa.com/products/4187469,https://image.msscdn.net/images/goods_img/20240610/4187469/4187469_17256091786020_500.jpg,18
