productId,date,views,likes,rating,ratingCount
2482269,2024120220,460000,50381,4.9,5662
3378514,2024120220,630000,49563,4.8,4992
2098325,2024120220,300000,32547,4.9,5476
4286631,2024120220,640000,15280,4.9,411
4619625,2024120220,350000,10819,4.9,984
2108160,2024120220,450000,86445,4.8,34353
2782764,2024120220,170000,24902,4.9,3760
4460716,2024120220,370000,18560,4.9,980
3481219,2024120220,150000,15175,4.9,2175
2700048,2024120220,230000,40809,4.8,3917
4241903,2024120220,330000,11603,4.9,140
3783092,2024120220,420000,117322,4.8,5164
4531994,2024120220,280000,7500,4.8,225
3780728,2024120220,420000,26666,4.8,633
3440439,2024120220,300000,26296,4.8,1356
1778404,2024120220,150000,247336,4.8,91357
2116411,2024120220,140000,25644,4.9,6754
4605203,2024120220,190000,6356,4.9,173
1582142,2024120220,180000,25345,4.8,2789
4403731,2024120220,320000,45520,4.8,2699
1618313,2024120220,110000,22737,4.9,5407
1535333,2024120220,170000,34654,4.8,7464
4286964,2024120220,240000,11466,4.9,363
2863075,2024120220,310000,52214,4.7,1241
865862,2024120220,100000,43903,4.8,24842
3390508,2024120220,280000,82993,4.8,7756
1596800,2024120220,110000,16858,4.9,1532
4452115,2024120220,140000,5742,4.9,188
4469328,2024120220,120000,5321,4.9,89
4515471,2024120220,300000,10812,4.8,63
4633419,2024120220,90000,1793,4.8,9
3689454,2024120220,110000,7100,4.8,622
2222924,2024120220,50000,5927,4.9,1074
2241553,2024120220,120000,10138,4.9,910
4241965,2024120220,160000,9433,4.9,828
4581858,2024120220,300000,11317,4.9,2870
3563303,2024120220,60000,8295,4.9,1136
655610,2024120220,60000,29599,4.9,8466
656046,2024120220,90000,18872,4.8,6854
3585225,2024120220,210000,18676,4.8,1235
2156295,2024120220,130000,21148,4.8,2032
3604263,2024120220,200000,17790,4.7,869
4446878,2024120220,90000,3789,5,46
3783094,2024120220,140000,36062,4.7,1838
2153567,2024120220,120000,18649,4.9,1311
2737014,2024120220,120000,16797,4.9,2154
4280408,2024120220,120000,4487,4.9,140
2037167,2024120220,280000,94823,4.9,21762
2801731,2024120220,100000,10194,4.8,980
4609720,2024120220,110000,3664,4.9,2139
3583487,2024120220,70000,5958,4.9,708
3541145,2024120220,80000,7065,4.8,228
912314,2024120220,70000,23685,4.9,11931
4351348,2024120220,140000,13600,4.8,109
3395772,2024120220,70000,4344,4.9,723
3470403,2024120220,160000,18752,4.9,6514
4442864,2024120220,420000,15194,4.5,150
4507921,2024120220,320000,11383,4.9,91
4457974,2024120220,70000,3263,4.9,171
3378515,2024120220,100000,9384,4.8,1431
3616470,2024120220,200000,17503,4.7,244
3536770,2024120220,40000,4674,4.8,458
885715,2024120220,50000,15746,4.9,2941
4573427,2024120220,80000,2355,4.9,99
3585220,2024120220,90000,4336,4.9,222
4600246,2024120220,70000,3052,4.8,13401
606312,2024120220,40000,23225,4.8,40247
2238440,2024120220,210000,100643,4.7,10494
3881570,2024120220,100000,10538,4.9,568
4312154,2024120220,150000,17557,4.9,1103
4297879,2024120220,70000,2773,4.9,157
2818896,2024120220,50000,6923,4.9,1350
2822486,2024120220,90000,15419,4.8,1604
1558197,2024120220,70000,72537,4.9,44300
3807577,2024120220,110000,29085,4.7,692
452483,2024120220,90000,53264,4.8,13401
4410061,2024120220,50000,842,4.9,17
4605224,2024120220,80000,3110,4.8,52
1684196,2024120220,130000,22092,4.8,918
947088,2024120220,60000,39614,4.8,25137
4266425,2024120220,100000,5316,4.9,91
3618780,2024120220,220000,29028,4.7,1157
1647181,2024120220,60000,18472,4.8,3077
1628418,2024120220,80000,10383,4.8,969
3676631,2024120220,130000,23491,4.8,472
3390511,2024120220,130000,67687,4.8,8269
2985378,2024120220,120000,16499,4.7,745
4432439,2024120220,110000,7027,4.8,287
4457972,2024120220,80000,5382,4.9,171
4297610,2024120220,170000,6496,4.9,207
4209266,2024120220,100000,3464,4.9,53
3515648,2024120220,40000,2552,4.9,251
3378508,2024120220,60000,7750,4.9,1785
4424968,2024120220,70000,4893,4.9,78
3481221,2024120220,60000,7202,4.9,1186
1539383,2024120220,100000,17204,4.8,2562
3588413,2024120220,40000,13897,4.9,1138
3621982,2024120220,60000,4318,4.8,253
4457996,2024120220,80000,2931,4.7,47
4290697,2024120220,80000,12721,4.9,82
4351669,2024120220,90000,9162,4.7,38
4508146,2024120220,40000,1256,4.8,25
1114716,2024120220,40000,11122,4.8,10196
4475936,2024120220,50000,3034,4.7,27
4480291,2024120220,160000,6139,4.7,70
4289728,2024120220,80000,43914,4.9,448
3634631,2024120220,80000,7078,4.9,319
4241964,2024120220,50000,2089,4.9,145
920520,2024120220,70000,11777,4.8,792
3600897,2024120220,30000,3167,4.9,152
3780896,2024120220,100000,7938,4.8,283
3716632,2024120220,140000,13759,4.7,112
668822,2024120220,40000,23787,4.9,8022
4565779,2024120220,110000,2047,4.9,47
4604451,2024120220,30000,929,4.8,19
2145689,2024120220,80000,23491,4.8,3673
1643839,2024120220,90000,17508,4.8,2233
1674248,2024120220,60000,4217,4.9,310
1535337,2024120220,80000,42263,4.8,10016
4483087,2024120220,40000,2510,4.9,18
4515548,2024120220,140000,3948,4.9,55
1291017,2024120220,80000,91361,4.8,16245
2792169,2024120220,150000,42814,4.8,2776
2161486,2024120220,40000,14727,4.9,1897
4515504,2024120220,130000,3973,4.9,443
2685539,2024120220,40000,3955,4.8,356
3905833,2024120220,50000,5031,4.9,316
2206096,2024120220,60000,8847,4.8,1016
4521039,2024120220,70000,1888,4.9,33
4494169,2024120220,30000,1067,5,53
4553941,2024120220,120000,4905,5,7
2737012,2024120220,40000,7549,4.9,1103
3967536,2024120220,40000,2354,4.9,64
4470740,2024120220,130000,6969,4.8,87
4420185,2024120220,70000,1398,5,29
4503687,2024120220,50000,1189,4.9,64
4489823,2024120220,60000,9140,4.9,297
2838103,2024120220,160000,12833,4.8,668
3578658,2024120220,30000,7659,5,346
910127,2024120220,30000,20808,4.8,5074
4508023,2024120220,80000,4378,4.8,51
3575358,2024120220,280000,28687,4.8,917
3541141,2024120220,30000,6310,4.9,441
4479890,2024120220,50000,3400,4.9,28
1648072,2024120220,40000,7368,4.8,2147
4297861,2024120220,60000,4501,4.9,72
4297621,2024120220,70000,2495,4.9,156
4440511,2024120220,80000,3822,4.9,58
3616463,2024120220,80000,9523,4.8,225
4502200,2024120220,20000,406,4.8,30
4417918,2024120220,50000,5205,5,11
2825493,2024120220,60000,4542,4.9,716
4464736,2024120220,70000,2250,4.9,28
2156412,2024120220,100000,14255,4.8,621
1576700,2024120220,40000,72281,4.9,22529
2758330,2024120220,30000,7035,4.9,982
4280409,2024120220,60000,2633,4.8,69
4573430,2024120220,100000,4825,4.9,845
3824875,2024120220,100000,4727,4.9,62
4498805,2024120220,100000,11197,4.8,28
2653652,2024120220,140000,20753,4.9,873
2704962,2024120220,100000,60207,4.9,23920
3541137,2024120220,190000,11014,4.9,162
4474775,2024120220,20000,386,5,20
4496942,2024120220,70000,3884,4.8,24
3635002,2024120220,60000,5442,4.9,321
3535181,2024120220,30000,14401,4.8,416
4600247,2024120220,30000,1486,4.9,17
3405535,2024120220,30000,3375,4.9,276
4266497,2024120220,40000,3308,4.9,65
1204448,2024120220,70000,43003,4.8,12448
4508009,2024120220,60000,3370,4.9,41
4604316,2024120220,19000,423,5,14
4522149,2024120220,140000,6799,4.8,12
3661328,2024120220,30000,7823,4.7,75
4440503,2024120220,50000,2544,4.8,54
3705719,2024120220,40000,1346,4.7,47
2700049,2024120220,50000,7110,4.9,336
4548961,2024120220,30000,1512,5,2
3810060,2024120220,18000,1515,4.8,33
2159721,2024120220,20000,3809,4.8,147
4262833,2024120220,50000,2464,4.8,38
4264558,2024120220,40000,2423,4.9,75
2794998,2024120220,20000,1785,5,153
4581760,2024120220,80000,3060,5,41
4371357,2024120220,50000,6725,4.9,8
4262841,2024120220,60000,2815,4.9,57
4498804,2024120220,110000,12122,4.9,45
3771089,2024120220,50000,18495,4.9,1335
2996683,2024120220,80000,20320,4.9,1999
4209578,2024120220,90000,2472,4.7,34
4326722,2024120220,100000,4082,4.9,403
1611799,2024120220,30000,9916,4.8,1567
1115974,2024120220,30000,23822,4.9,14163
4305217,2024120220,150000,4728,4.9,170
4612241,2024120220,100000,8791,4.3,3
2518452,2024120220,30000,3093,4.9,785
1108007,2024120220,30000,63628,4.8,51550
1593755,2024120220,40000,67763,4.9,16926
4499477,2024120220,20000,1437,4.9,50
3634620,2024120220,50000,4179,4.9,170
4595695,2024120220,40000,1398,5,2
4569353,2024120220,60000,1957,4.8,980
2169905,2024120220,30000,5584,4.9,462
4464735,2024120220,30000,441,5,4
