productId,date,views,likes,rating,ratingCount
1551840,2024120220,580000,272176,4.9,127465
1551839,2024120220,220000,70695,4.9,45104
4274049,2024120220,520000,44125,4.8,1289
2112061,2024120220,180000,97712,4.9,35405
2112059,2024120220,180000,230963,4.9,73980
3575430,2024120220,220000,50315,4.8,3708
1168906,2024120220,170000,117437,4.9,96102
3674341,2024120220,240000,54586,4.8,3110
1844582,2024120220,590000,115330,4.8,22439
2092852,2024120220,280000,201250,4.8,30940
1149329,2024120220,150000,115180,4.8,106422
4580355,2024120220,140000,8016,4.8,42719
750908,2024120220,150000,250171,4.8,103085
3690591,2024120220,290000,19419,4.8,1602
3596906,2024120220,140000,25447,4.8,3546
3791988,2024120220,260000,147302,4.8,11640
4274045,2024120220,270000,42538,4.7,1558
4308187,2024120220,170000,7374,4.9,436
4164429,2024120220,200000,22131,4.8,1101
2708877,2024120220,120000,49573,4.8,5742
4293047,2024120220,150000,39610,4.8,437
4581524,2024120220,110000,3673,4.9,4204
4358823,2024120220,80000,5553,4.9,372
3674342,2024120220,70000,41659,4.8,3727
396185,2024120220,130000,40221,4.8,11352
3469199,2024120220,150000,58458,4.8,6412
3443507,2024120220,120000,36698,4.8,3298
2578996,2024120220,100000,89926,4.8,15444
3794791,2024120220,90000,30586,4.9,2001
4057732,2024120220,100000,16883,4.7,1619
1149328,2024120220,50000,105294,4.8,104315
2028329,2024120220,100000,33420,4.8,12010
4034005,2024120220,50000,3470,4.8,440
4293032,2024120220,90000,21482,4.9,392
3440017,2024120220,90000,33943,4.8,6291
2032901,2024120220,50000,23939,4.9,13257
1670232,2024120220,40000,8925,4.8,4718
3690587,2024120220,100000,4876,4.8,742
2092849,2024120220,90000,86546,4.8,15002
1222184,2024120220,70000,88784,4.9,62586
1670229,2024120220,30000,13089,4.8,7074
3650955,2024120220,60000,5482,4.8,513
4398163,2024120220,60000,3802,4.9,86
3946794,2024120220,110000,5364,4.7,236
1736562,2024120220,90000,38709,4.9,11630
2060759,2024120220,80000,85621,4.9,15297
3794792,2024120220,60000,15927,4.8,919
2107115,2024120220,50000,36757,4.9,15424
3852647,2024120220,50000,4809,4.9,822
2744549,2024120220,90000,77329,4.8,16626
732703,2024120220,30000,10880,4.9,5029
4319523,2024120220,80000,7502,4.8,337
4381625,2024120220,130000,14816,4.8,161
2762709,2024120220,90000,10441,4.7,2180
3690588,2024120220,110000,5414,4.7,604
2724802,2024120220,130000,19946,4.8,834
2279194,2024120220,80000,21999,4.8,1123
3054701,2024120220,60000,29297,4.9,3379
4072132,2024120220,100000,30731,4.8,1531
3902778,2024120220,160000,22504,4.7,492
2724692,2024120220,50000,8659,4.8,1586
1168922,2024120220,30000,38490,4.9,25164
3124490,2024120220,90000,76352,4.8,9506
4360670,2024120220,110000,15902,4.7,81
1552753,2024120220,50000,92253,4.9,32964
4330245,2024120220,80000,9202,4.8,679
3576618,2024120220,70000,29628,4.9,1347
4308176,2024120220,90000,12810,4.7,398
2513018,2024120220,60000,9563,4.9,2442
3443300,2024120220,130000,103816,4.8,9644
1735427,2024120220,30000,50412,4.7,10242
4293708,2024120220,70000,3870,4.8,128
4342152,2024120220,80000,6192,4.8,138
2711142,2024120220,40000,39655,4.8,7254
4274042,2024120220,100000,7302,4.8,344
2183795,2024120220,60000,46026,4.8,8210
3525289,2024120220,60000,7408,4.9,588
4229168,2024120220,120000,3784,4.6,61
2441622,2024120220,30000,4711,4.9,1969
1627892,2024120220,60000,34602,4.9,24747
3054704,2024120220,40000,23028,4.9,2223
1581262,2024120220,80000,8304,4.7,879
3206724,2024120220,40000,16761,4.9,1754
4076299,2024120220,90000,5236,4.8,545
2150457,2024120220,30000,23612,4.9,7964
2833222,2024120220,30000,15031,4.9,2837
2119984,2024120220,60000,39707,4.8,6605
1253200,2024120220,40000,9272,4.9,1336
3791990,2024120220,80000,16470,4.8,11640
3139359,2024120220,40000,10389,4.9,2202
3684419,2024120220,40000,19571,4.9,2127
2107114,2024120220,20000,14292,4.9,5007
2028326,2024120220,40000,35049,4.9,14791
3439044,2024120220,80000,18826,4.8,475
2351467,2024120220,60000,67015,4.8,16028
4539005,2024120220,80000,4238,4.8,56
3404705,2024120220,60000,14808,4.9,3088
4431870,2024120220,50000,6178,4.7,38
2307746,2024120220,40000,26099,4.9,8451
3316989,2024120220,30000,22637,4.8,6068
1224095,2024120220,40000,32035,4.9,31758
732698,2024120220,20000,4009,4.9,2102
1666442,2024120220,50000,46305,4.9,16111
4308206,2024120220,70000,9288,4.8,283
4067457,2024120220,60000,8840,4.8,92
4467373,2024120220,110000,9551,4.8,462
3837367,2024120220,30000,4473,4.9,334
1736085,2024120220,120000,92470,4.8,45268
4580386,2024120220,40000,2326,4.9,6085
1176326,2024120220,20000,10547,4.8,5047
3794184,2024120220,30000,6332,4.9,737
3046300,2024120220,40000,9422,4.9,2078
1629081,2024120220,20000,9071,4.8,5381
4556433,2024120220,60000,4484,5,4
2117266,2024120220,30000,8541,4.8,2224
3038012,2024120220,30000,4194,4.8,587
2786732,2024120220,30000,18135,4.8,2435
2116450,2024120220,20000,4555,4.8,1685
4067438,2024120220,30000,5499,4.8,97
1666444,2024120220,40000,19074,4.8,7921
4556222,2024120220,40000,2613,5,1
4309321,2024120220,60000,4949,4.9,108
2926541,2024120220,220000,14561,4.7,616
2709015,2024120220,60000,28424,4.8,4915
2028327,2024120220,70000,49487,4.9,20879
4417675,2024120220,80000,5685,4.8,80
1816105,2024120220,30000,16092,4.9,2647
4057974,2024120220,50000,7276,4.8,568
4057671,2024120220,40000,4943,4.8,670
2391746,2024120220,40000,16065,4.8,5343
2792605,2024120220,30000,7870,4.7,1224
2103617,2024120220,50000,7186,4.8,1017
