productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,totalSales,colors,date,category
2723767,수아레,데일리 라운드 니트 - 12 COLOR,20250,55,2500,1100,1,0,150000,,2024120220,clothes_top
2149254,무신사 스탠다드,베이식 긴팔 티셔츠 2팩,29990,21,350,204,2,0,340000,,2024120220,clothes_top
4509977,워크온바디오프,반폴라 세미 오버핏 모크넥 니트 [블랙],14850,55,862,215,3,0,16000,블랙,2024120220,clothes_top
2086653,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],15190,10,196,138,4,0,520000,화이트,2024120220,clothes_top
1582356,소버먼트,980G 피그먼트 맨투맨-챠콜-,44300,54,578,110,5,0,110000,,2024120220,clothes_top
2990516,1989스탠다드,RV_OUR 1989 후드 (STHSTD-0004),24500,67,1100,283,6,0,81000,,2024120220,clothes_top
4326536,디미트리블랙,[기모선택] VLAD 컷오프 아플리케 후드 티셔츠_차콜,28500,43,1100,134,7,0,13000,차콜,2024120220,clothes_top
4349548,제이엘브,심볼 로고 풋볼 저지,22000,78,592,184,8,0,15000,,2024120220,clothes_top
4480309,라퍼지스토어,울 자카드 후드 더플 니트_3COLOR,54000,45,1200,94,9,0,7200,,2024120220,clothes_top
3669072,브론슨,[2PACK] Tompkins® Loopwheeled Tubular Tee,51600,40,318,44,10,0,5300,,2024120220,clothes_top
4285909,언탭트 스튜디오,오버핏 케이블 라운드 니트 5COLOR,24900,50,1200,224,11,0,23000,,2024120220,clothes_top
4421530,디미트리블랙,에센셜 헤어리 라운드 니트_차콜 그레이,22900,58,1000,128,12,0,7800,그레이 | 차콜,2024120220,clothes_top
1817394,트래블,[3-PACK]베이직 트래블러 피그먼트 스웨트셔츠,39900,73,357,72,13,0,69000,,2024120220,clothes_top
3495320,수아레,[SET] 스테디 니트 세트,58900,35,177,0,14,0,24000,,2024120220,clothes_top
3640947,트릴리온,워셔블 아란 케이블 후드 집업 니트 (IVORY),39000,43,401,51,15,0,23000,,2024120220,clothes_top
4302685,소라노,SORANO Basic Logo HOODIE [4Color],44900,62,594,83,16,0,20000,,2024120220,clothes_top
4328686,트릴리온,헤어리 그래픽 로고 오버핏 자카드 니트 (BLUE),27800,47,684,82,17,0,5400,blue,2024120220,clothes_top
1558847,수아레,[리뉴얼] 하프 터틀넥 니트 세트,23920,52,207,80,18,0,150000,,2024120220,clothes_top
994588,필루미네이트,옵티멀 베이직 셔츠-화이트[린넨＆옥스포드 선택],22700,57,286,95,19,0,72000,화이트,2024120220,clothes_top
3791891,필루미네이트,오버핏 포레스트 체크 셔츠-블랙,19900,63,381,91,20,0,49000,블랙,2024120220,clothes_top
3539904,디미트리블랙,에센셜 헤어리 라운드 니트_라이트 그레이,22900,58,354,71,21,0,11000,그레이,2024120220,clothes_top
2684357,노매뉴얼,CROPPED HAIRY KNIT - MELANGE,54500,50,440,41,22,0,9300,,2024120220,clothes_top
3640949,트릴리온,워셔블 아란 케이블 후드 집업 니트 (CHARCOAL),38300,44,281,42,23,0,19000,charcoal,2024120220,clothes_top
2314616,토피,에센셜 후드 스웻 셔츠 (MELANGE GREY),32650,24,131,38,24,0,93000,grey,2024120220,clothes_top
3546288,이코르,클로버  자수 스웨트셔츠_네이비,33800,62,457,39,25,0,4900,네이비,2024120220,clothes_top
2139775,미니멀코드,소프트 필링 세미오버 라운드 니트 초코브라운,29500,50,338,53,26,0,31000,브라운,2024120220,clothes_top
2122566,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_일반 기장 2팩,20190,40,96,68,27,0,130000,,2024120220,clothes_top
2990274,1989스탠다드,SMALL CENTER 맨투맨 (STMSTD-0015),23400,61,370,93,28,0,42000,,2024120220,clothes_top
1208839,그루브라임,"[2PACK] 유니)C/P기모쭈리 - LOCATION 맨투맨(세미오버핏)(15COLOR)[LRAWCTM704M/712M, 304M, GMT501H43]",27100,77,235,45,29,0,110000,,2024120220,clothes_top
3533480,에즈카톤,스페이스 헤비코튼 후드 버건디 KMHD6723,43800,30,195,0,30,0,36000,,2024120220,clothes_top
2990463,1989스탠다드,SMALL CENTER 후드 (STHSTD-0015),24700,67,311,81,31,0,19000,,2024120220,clothes_top
947067,무신사 스탠다드,스웨트셔츠 [블랙],29900,0,62,0,32,0,140000,블랙,2024120220,clothes_top
2722805,브라운브레스,TAG OG HOODIE - BURGUNDY,80100,10,126,0,33,0,27000,,2024120220,clothes_top
3012570,트래블,워크샵 디비전 피그먼트 후드티 블랙 차콜,29900,62,424,68,34,0,26000,블랙 | 차콜,2024120220,clothes_top
4324518,칙스,하트 칙스 오버핏 라운드 니트,26981,45,609,83,35,0,3700,,2024120220,clothes_top
4288950,디미트리블랙,[기모선택] ASI 포시즌 에센셜 피그먼트 후드 티셔츠_차콜,27900,37,83,42,36,0,6700,차콜,2024120220,clothes_top
3066189,엘엠씨,AEROCOOL LONG SLV TEE 2PACK,25900,62,481,125,37,0,10000,,2024120220,clothes_top
3475395,웬즈데이오아시스,[기모버전추가]시그니처 오버핏 맨투맨(4col),21930,57,525,136,38,0,28000,,2024120220,clothes_top
404474,브렌슨,(Renew Ver.) 베이직 긴팔티셔츠 4종 ( 5Color ),14900,40,279,116,39,0,260000,,2024120220,clothes_top
4328682,트릴리온,헤어리 그래픽 로고 오버핏 자카드 니트 (GREEN),35700,31,240,0,40,0,3300,green,2024120220,clothes_top
2684358,노매뉴얼,CROPPED HAIRY KNIT - GRASS GREEN,54500,50,224,0,41,0,19000,green,2024120220,clothes_top
2226767,드로우핏,오버사이즈 집업 카라 터틀넥 니트 [5color],43000,43,49,0,42,0,37000,,2024120220,clothes_top
3050501,제이엘브,[2pack] 루즈핏 롱슬리브,34000,73,151,52,43,0,16000,,2024120220,clothes_top
2058188,브라운브레스,TAG OG HOODIE - BLACK,80100,10,100,0,44,0,52000,black,2024120220,clothes_top
2338457,비터셀즈,하트 벌룬 스웻 셔츠-3 Colors,29680,47,250,43,45,0,19000,,2024120220,clothes_top
4584154,노드유,소프트 헨리넥 라운드 긴팔 니트 [베이지],24900,51,406,85,46,0,2900,,2024120220,clothes_top
1615829,제멋,로그 오버핏 기모 후드 그레이 YHHD2302,37800,24,114,0,47,0,100000,그레이,2024120220,clothes_top
2692476,캘빈클라인 진,남녀공용 릴렉스핏 모노그램 로고 후디 J327360 BEH,59900,50,45,0,48,0,5800,,2024120220,clothes_top
2194649,굿라이프웍스,카라 케이블 니트 집업 블랙,39800,47,211,0,49,0,42000,블랙,2024120220,clothes_top
4388024,더니트컴퍼니,[패션플래닛X더니트컴퍼니] 워셔블 코튼 크루넥 니트 12color,39900,30,192,33,50,0,19000,,2024120220,clothes_top
3223007,브렌슨,( 2PACK ) 퓨어코튼 레이어드 체인 반팔티,18900,62,177,63,51,0,29000,,2024120220,clothes_top
854337,무신사 스탠다드,릴렉스 핏 옥스포드 셔츠 [화이트],27090,20,58,0,52,0,88000,화이트,2024120220,clothes_top
4394773,브라운브레스,TAG HOODIE - ASH,80100,10,48,0,53,0,3500,,2024120220,clothes_top
3417709,무신사 스탠다드 우먼,우먼즈 슬림 크루 넥 긴소매 티셔츠 [화이트],16790,11,151,37,54,0,17000,화이트,2024120220,clothes_top
2109937,엠오오,피치스킨 벌룬오버 후드 - 블랙,33300,51,47,0,55,0,22000,블랙,2024120220,clothes_top
4265248,어나더 아카이브,그래피티 로고 후드티_네이비,28800,42,306,0,56,0,4900,네이비,2024120220,clothes_top
2043056,코드그라피,[SET] [후드티 OR 맨투맨 선택] CGP 아치 로고 셋업_네이비,50425,57,134,0,57,0,38000,네이비,2024120220,clothes_top
2757451,니티드,[니티드X깡스타일리스트] 코튼 미니멀 라운드 니트 (2color),39800,60,224,31,58,0,32000,,2024120220,clothes_top
2970542,슬로우애시드,피치스킨 러스티 로고 스웨트셔츠 [웜그레이],35900,55,285,41,59,0,19000,그레이,2024120220,clothes_top
4467040,아미,레드 하트 로고 후드 - 블랙 / BFUSW235730001,256990,54,39,0,60,0,0,블랙,2024120220,clothes_top
4299296,언탭트 스튜디오,시티보이 오버핏 럭비 카라 맨투맨 스웻 티셔츠 4COLOR,34285,30,218,0,61,0,7000,,2024120220,clothes_top
2970541,슬로우애시드,피치스킨 러스티 로고 스웨트셔츠 [블랙],39000,51,48,38,62,0,21000,블랙,2024120220,clothes_top
3463298,예일,투톤아치 후드_그레이,31600,60,123,0,63,0,16000,그레이,2024120220,clothes_top
4341053,아미,레드 하트 로고 맨투맨 - 블랙 / BFUSW001730001,209990,52,68,0,64,0,0,블랙,2024120220,clothes_top
4440029,아메스 월드와이드,BIG TYPO HOODIE GREY,51790,30,148,0,65,0,3500,grey,2024120220,clothes_top
4480313,라퍼지스토어,울 자카드 후드 더플 니트_Midnight Blue,68000,31,261,0,66,0,1900,blue,2024120220,clothes_top
3539902,디미트리블랙,에센셜 헤어리 라운드 니트_핑크,22900,58,112,58,67,0,6900,,2024120220,clothes_top
2995119,트릴리온,컬러 배색 1992 그래픽 후드 (NAVY),27350,45,135,33,68,0,50000,navy,2024120220,clothes_top
4314115,지프,M-Logo 반집업 맨투맨 (JP5TSU839) 10colors,20700,70,350,31,69,0,9900,,2024120220,clothes_top
4481198,몽돌,[SET] 세미 크롭 니트 - 라운드/터틀넥,39900,66,196,37,70,0,1700,,2024120220,clothes_top
1336836,브렌슨,(Renew Ver.) 루즈핏 스웨트 셔츠 ( 9Color ) ( 기모선택 ),18900,42,163,48,71,0,56000,,2024120220,clothes_top
1139175,엘무드,화란 세미오버 니트 블랙,71900,20,23,0,72,0,78000,블랙,2024120220,clothes_top
2683549,세터,파로 오버 사이즈 부클 가디건 클래식 블랙,119200,20,53,0,73,0,13000,블랙,2024120220,clothes_top
4375639,꼼파뇨,happy day 피그먼트 스웨트셔츠 스모크블랙,39600,45,59,0,74,0,4200,블랙,2024120220,clothes_top
4387116,르아르,리브드 오버핏 헨리넥 니트 [블랙],45900,41,235,0,75,0,1800,블랙,2024120220,clothes_top
3465171,키뮤어,소프트 텍스쳐 세미 오버핏 데일리 니트_8 COLOR,19900,66,454,147,76,0,27000,,2024120220,clothes_top
4328687,트릴리온,헤어리 그래픽 로고 오버핏 자카드 니트 (CHARCOAL),35700,31,225,0,77,0,2400,charcoal,2024120220,clothes_top
4422975,수아레,워셔블 모크넥 슬리브 니트 블랙,20280,48,273,42,78,0,3400,블랙,2024120220,clothes_top
2105452,소버먼트,980G 피그먼트 컷 후드-차콜-,68300,40,63,0,79,0,26000,차콜,2024120220,clothes_top
876284,필루미네이트,[블랙]SET B-스테디 하프 폴라넥,29590,43,87,0,80,0,62000,블랙,2024120220,clothes_top
1642904,무신사 스탠다드,헤비웨이트 오버사이즈 후디드 스웨트셔츠 [미디엄 그레이],42390,15,29,0,81,0,32000,그레이,2024120220,clothes_top
1628939,무신사 스탠다드,미니멀 크루 넥 니트 [블랙],55890,20,43,0,82,0,30000,블랙,2024120220,clothes_top
4514674,트릴리온,워셔블 노르딕 자카드 카라넥 2WAY 집업 니트 [베이지],29900,45,577,53,83,0,1800,,2024120220,clothes_top
3539905,디미트리블랙,에센셜 헤어리 라운드 니트_라이트 그린,22900,58,243,42,84,0,8200,그린,2024120220,clothes_top
3451265,노매뉴얼,CROPPED HAIRY KNIT - MARINA,54500,50,115,0,85,0,4800,,2024120220,clothes_top
4619622,디스이즈네버댓,T-Logo Hoodie,66500,30,178,30,86,0,1900,,2024120220,clothes_top
1548435,쿠어,탑필 울 라운드 니트 (블랙),72900,10,50,0,87,0,22000,블랙,2024120220,clothes_top
